1, 0.0, 1.618976726647122e-06, V
2, 0.0, 1.6188449104022878e-06, V
3, 0.0, 1.6184501729753742e-06, V
4, 0.0, 1.618694014877585e-06, V
5, 0.0, 1.6184927694219109e-06, V
6, 0.0, 1.6184612868231775e-06, V
7, 0.0, 1.6186955526570032e-06, V
8, 0.0, 1.6189251752036278e-06, V
9, 0.0, 1.6184816897189025e-06, V
10, 0.0, 1.6190439935763724e-06, V
11, 0.0, 1.6187430465617676e-06, V
12, 0.0, 1.6188284135229786e-06, V
13, 0.0, 1.6185395278743472e-06, V
14, 0.0, 1.618661163586902e-06, V
15, 0.0, 1.6189050774620867e-06, V
16, 0.0, 1.6185808859265965e-06, V
17, 0.0, 1.6193173667081032e-06, V
18, 0.0, 1.619547745124024e-06, V
19, 0.0, 1.6192659128713533e-06, V
20, 0.0, 1.6197483481607118e-06, V
21, 0.0, 1.6193676741751685e-06, V
22, 0.0, 1.6189539596931896e-06, V
23, 0.0, 1.6192127562648323e-06, V
24, 0.0, 1.6193382330438329e-06, V
25, 0.0, 1.618658665097764e-06, V
26, 0.0, 1.619066270506019e-06, V
27, 0.0, 1.6187205183342527e-06, V
28, 0.0, 1.6190078025728626e-06, V
29, 0.0, 1.6190365622151925e-06, V
30, 0.0, 1.6187074742803667e-06, V
31, 0.0, 1.6186026470978279e-06, V
32, 0.0, 1.61861091625005e-06, V
